smiles,compound_type,reason
CN(C1=CC=C(C=C1)OC)C(=S)SCC(=O)O,monoamine,no free amine NH found
CCN(CC)C1=CC=C(C=C1)/C=N/NC(=O)C(=O)NC2=CC=CC=C2,monoamine,no free amine NH found
CCN(CC)C1=CC=C(C=C1)/C=N/NC(=O)C(=O)NC2=CC=C(C=C2)C,monoamine,no free amine NH found
CCCCCCCCCCCCCC(=O)N/N=C/C1=CC=C(C=C1)N(CC)CC,monoamine,no free amine NH found
CCCCCCCCCCCCCCCC(=O)N/N=C/C1=CC=C(C=C1)N(CC)CC,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=N/NC(=O)C2=CC=C(C=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=N/NC(=O)C(=O)NC2=CC=C(C=C2)OC,monoamine,no free amine NH found
CCN(CC)C1=CC=C(C=C1)/C=N/NC(=O)C2=CC=C(C=C2)OCC3=CC=C(C=C3)C,monoamine,no free amine NH found
CCN(CC)C1=CC=C(C=C1)/C=N/NC(=O)C2=CC=CC=C2OCC3=CC=C(C=C3)Cl,monoamine,no free amine NH found
CCN(CC)C1=CC=C(C=C1)/C=N/NC(=O)C2=CC=C(C=C2)OCC3=CC=C(C=C3)Cl,monoamine,no free amine NH found
CCN(CC)C1=CC=C(C=C1)/C=N/NC(=O)C(=O)NC2=CC(=CC=C2)OC,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=N/NC(=O)C(=O)NC2=CC=CC=C2,monoamine,no free amine NH found
CN(C)/C=N/C1=NC2=CC=CC=C2S1,monoamine,no free amine NH found
CCN(CC)CCN(C1=CC=CC=C1)C(=O)C2=CC=C(C=C2)OCC,monoamine,no free amine NH found
C1CN(CCN1C2=CC=CC=C2)C(=O)NC3=CC=CC4=CC=CC=C43,monoamine,no free amine NH found
C1COCCN1NC(=O)NC2=CC=CC3=CC=CC=C32,monoamine,no free amine NH found
CN1C2=C(C=C(C=C2)N=CC3=CC=C(O3)[N+](=O)[O-])N=C1C4=CC=C(C=C4)N(C)C,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=C(\C#N)/S(=O)(=O)C2=CC=CS2,monoamine,no free amine NH found
CC(=O)C1=CC=C(C=C1)N(CC(=O)O)N=O,monoamine,no free amine NH found
CN(C)CCN(C1=CC(=CC=C1)Cl)C(=O)C2=CC=C(C=C2)[N+](=O)[O-],monoamine,no free amine NH found
C1CN(CCN1C(C2=CC=CC=C2)C3=CC=CC=C3)C(=O)NC4=CC=CC5=CC=CC=C54,monoamine,no free amine NH found
C1CN(CCN1CC2=CC=CC=C2)C(=O)NC3=CC=CC4=CC=CC=C43,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=N/NC(=O)C2CCCCC2,monoamine,no free amine NH found
CCC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)N4CCOCC4,monoamine,no free amine NH found
